,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
958,2276,8400,1988-02-16,4700.0,1968-03-20,False,True,False,False,False,False,False,False,7272,1968
962,2294,4500,1971-12-14,4900.0,1968-03-07,False,False,False,False,False,True,False,False,1377,1968
967,2310,8400,1997-01-20,3200.0,1968-03-31,False,True,False,False,False,False,False,False,10522,1968
970,2313,7100,2023-02-18,740.0,1992-01-14,False,True,False,False,False,False,False,False,11358,1992
979,2342,4800,1992-01-24,3260.0,1968-06-16,False,False,False,False,False,True,False,False,8622,1968
983,2360,4575,1997-01-01,4900.0,1968-08-15,False,False,False,False,False,True,False,False,10366,1968
986,2379,4575,1995-01-28,4900.0,1968-09-28,False,False,False,False,False,True,False,False,9618,1968
987,2382,4535,1985-10-15,2000.0,1968-11-05,False,False,False,False,False,True,False,False,6188,1968
988,2384,4535,1997-06-18,2000.0,1968-10-22,False,False,False,False,False,True,False,False,10466,1968
989,2385,4535,2002-04-04,2000.0,1968-09-24,False,False,False,False,False,True,False,False,12245,1968
990,2386,4800,1997-01-28,3260.0,1968-09-22,False,False,False,False,False,True,False,False,10355,1968
992,2391,4800,1980-03-06,8360.0,1968-10-17,False,True,False,False,False,False,False,False,4158,1968
997,2401,4100,1999-02-10,4900.0,1968-11-07,False,True,False,False,False,False,False,False,11052,1968
1000,2408,2800,2022-10-12,320.0,2001-10-07,False,False,False,False,False,False,True,False,7675,2001
1002,2412,4100,1990-08-16,4900.0,1968-12-13,False,True,False,False,False,False,False,False,7916,1968
1011,2446,4100,1993-03-12,7840.0,1969-02-24,False,False,True,False,False,False,False,False,8782,1969
1012,2446,4510,1993-03-12,7840.0,1969-02-24,False,False,True,False,False,False,False,False,8782,1969
1016,2459,8400,2004-06-07,3200.0,1969-03-09,False,True,False,False,False,False,False,False,12874,1969
1017,2459,7400,2004-06-07,3200.0,1969-03-09,False,True,False,False,False,False,False,False,12874,1969
1020,2466,2630,1974-02-19,3380.0,1969-02-07,False,False,False,False,False,False,True,False,1838,1969
1030,2503,4590,1993-11-20,6100.0,1978-08-30,False,True,False,False,False,False,False,False,5561,1978
1032,2509,8400,1997-03-25,3200.0,1969-03-31,False,True,False,False,False,False,False,False,10221,1969
1033,2515,4535,2002-06-21,2000.0,1969-06-24,False,False,False,False,False,True,False,False,12050,1969
1035,2516,4800,2015-03-03,3560.0,2007-02-01,False,False,False,False,False,False,True,False,2952,2007
1036,2517,8400,1994-03-01,4700.0,1969-04-02,False,True,False,False,False,False,False,False,9099,1969
1040,2534,4575,2002-11-13,4900.0,1969-06-21,False,False,False,False,False,True,False,False,12198,1969
1041,2534,4100,2002-11-13,4900.0,1969-06-21,False,False,False,False,False,True,False,False,12198,1969
1042,2534,2700,2002-11-13,4900.0,1969-06-21,False,False,False,False,False,True,False,False,12198,1969
1047,2538,2200,2004-10-19,8120.0,1969-06-23,False,True,False,False,False,False,False,False,12902,1969
1048,2539,6200,2000-08-18,8000.0,1969-07-01,False,True,False,False,False,False,False,False,11371,1969
1056,2547,8580,2023-02-04,740.0,1992-02-20,False,True,False,False,False,False,False,False,11307,1992
1057,2547,7730,2023-02-04,740.0,2004-02-22,False,True,False,False,False,False,False,False,6922,2004
1058,2547,7386,2023-02-04,740.0,2004-02-22,False,True,False,False,False,False,False,False,6922,2004
1059,2547,8580,2023-02-04,740.0,2004-02-22,False,True,False,False,False,False,False,False,6922,2004
1070,2563,8580,2023-02-22,740.0,1989-05-07,False,True,False,False,False,False,False,False,12344,1989
1077,2573,2900,1990-09-11,7600.0,1969-11-10,False,True,False,False,False,False,False,False,7610,1969
1079,2583,6200,2006-03-29,8000.0,1977-09-16,False,False,False,False,False,True,False,False,10421,1977
1080,2583,4520,2006-03-29,8000.0,1977-09-16,False,False,False,False,False,True,False,False,10421,1977
1090,2602,8600,2014-03-08,8800.0,2006-03-22,False,False,False,False,False,False,True,False,2908,2006
1091,2609,8400,1999-01-23,5400.0,1970-02-06,False,True,False,False,False,False,False,False,10578,1970
1095,2616,2700,1975-02-05,9000.0,1970-01-28,False,False,False,False,False,False,True,False,1834,1970
1096,2617,8400,1985-04-17,4700.0,1970-02-10,False,True,False,False,False,False,False,False,5545,1970
1100,2629,8400,2005-01-17,4470.0,1970-02-22,False,True,False,False,False,False,False,False,12748,1970
1105,2651,4540,2010-10-09,4900.0,1977-09-24,False,True,False,False,False,False,False,False,12068,1977
1106,2651,2900,2010-10-09,4900.0,1977-09-24,False,True,False,False,False,False,False,False,12068,1977
1115,2704,4575,1994-02-06,4900.0,1970-03-28,False,False,False,False,False,False,False,True,8716,1970
1117,2708,6200,1995-04-01,8360.0,1970-07-27,False,True,False,False,False,False,False,False,9014,1970
1118,2708,4100,1995-04-01,8360.0,1970-07-27,False,True,False,False,False,False,False,False,9014,1970
